,LABB.MX,GENTERA.MX,WMT.MX
2010-12-30,25.710071563720703,18.476226806640625,650.9046630859375
2011-01-03,26.457202911376953,18.545976638793945,657.1742553710938
2011-01-04,26.51873207092285,18.42740821838379,657.1742553710938
2011-01-05,27.239490509033203,17.93916893005371,654.815673828125
2011-01-06,27.511972427368164,17.688077926635742,647.1215209960938
2011-01-07,27.73171615600586,17.0463924407959,647.1215209960938
2011-01-10,27.47681427001953,16.593034744262695,646.0801391601562
2011-01-11,27.70534896850586,16.139673233032227,646.0801391601562
2011-01-12,28.487640380859375,16.1815185546875,652.0054931640625
2011-01-13,29.31387710571289,16.16059684753418,653.9412231445312
2011-01-14,29.006235122680664,16.021100997924805,649.4996948242188
2011-01-17,28.70738410949707,15.77000617980957,649.4996948242188
2011-01-18,28.100887298583984,15.246901512145996,649.4996948242188
2011-01-19,27.97783088684082,15.309669494628906,652.4967651367188
2011-01-20,27.95146369934082,15.881603240966797,662.4802856445312
2011-01-21,28.162416458129883,16.348915100097656,662.5982666015625
2011-01-24,28.01299285888672,16.96269416809082,662.5982666015625
2011-01-25,27.86356544494629,16.8929500579834,680.6004028320312
2011-01-26,27.854774475097656,17.569507598876953,678.8514404296875
2011-01-27,27.802034378051758,17.067317962646484,678.8514404296875
2011-01-28,26.67694664001465,16.579082489013672,679.951904296875
2011-01-31,27.002168655395508,17.032442092895508,679.951904296875
2011-02-01,27.68777084350586,17.520681381225586,664.7503662109375
2011-02-02,27.4592342376709,17.26261329650879,660.633056640625
2011-02-03,27.468027114868164,17.109169006347656,660.633056640625
2011-02-04,26.93185043334961,17.11614418029785,660.633056640625
2011-02-08,27.019746780395508,16.927824020385742,668.5728759765625
2011-02-09,26.720895767211914,16.62093162536621,671.1966552734375
2011-02-10,26.255037307739258,16.697654724121094,671.1966552734375
2011-02-11,26.395675659179688,16.899925231933594,671.1966552734375
2011-02-14,26.34293556213379,16.75345230102539,650.5706176757812
2011-02-15,26.386886596679688,16.593034744262695,655.2285766601562
2011-02-16,26.465991973876953,16.662776947021484,655.2285766601562
2011-02-17,26.808792114257812,16.6906795501709,646.1488647460938
2011-02-18,26.76484489440918,16.8441219329834,649.2340698242188
2011-02-21,26.474781036376953,16.6906795501709,649.2340698242188
2011-02-22,25.727651596069336,16.188491821289062,634.7503051757812
2011-02-23,24.672882080078125,15.679336547851562,633.87548828125
2011-02-24,23.89059066772461,15.790929794311523,633.87548828125
2011-02-25,23.275306701660156,15.839753150939941,615.9717407226562
2011-02-28,23.512630462646484,16.272193908691406,618.870361328125
2011-03-01,23.512630462646484,16.272193908691406,618.3596801757812
2011-03-02,23.231359481811523,16.453536987304688,617.6028442382812
2011-03-03,24.136703491210938,16.523284912109375,613.4856567382812
2011-03-04,23.943328857421875,16.55816078186035,611.8347778320312
2011-03-07,23.714794158935547,16.195470809936523,613.4462890625
2011-03-08,23.688426971435547,16.244295120239258,613.4462890625
2011-03-09,23.61810874938965,15.993197441101074,620.2265625
2011-03-10,23.029191970825195,15.309669494628906,620.59033203125
2011-03-11,22.932506561279297,14.898158073425293,617.3671875
2011-03-14,22.774290084838867,14.870258331298828,617.7261962890625
2011-03-15,22.818235397338867,14.95395565032959,617.7261962890625
2011-03-16,23.47747039794922,14.730766296386719,617.7261962890625
2011-03-17,23.037982940673828,14.730766296386719,617.7261962890625
2011-03-18,23.029191970825195,14.72379207611084,610.6467895507812
2011-03-22,23.090723037719727,14.493621826171875,613.016357421875
2011-03-23,23.74116325378418,14.24252700805664,613.016357421875
2011-03-24,24.303709030151367,14.24252700805664,619.4271850585938
2011-03-25,24.303709030151367,14.24252700805664,617.2835083007812
2011-03-28,23.63568687438965,14.85630989074707,617.2835083007812
2011-03-29,23.424732208251953,14.981857299804688,614.5109252929688
2011-03-30,23.222566604614258,15.114376068115234,613.8225708007812
2011-03-31,23.670846939086914,14.93303394317627,613.8225708007812
2011-04-01,23.670846939086914,14.93303394317627,613.8225708007812
2011-04-04,24.831096649169922,15.121353149414062,612.8982543945312
2011-04-05,24.831096649169922,15.121353149414062,617.3229370117188
2011-04-06,24.75198745727539,14.688912391662598,617.3229370117188
2011-04-07,24.82230567932129,14.967903137207031,617.3229370117188
2011-04-08,24.82230567932129,14.849333763122559,617.3229370117188
2011-04-11,24.611351013183594,14.828410148620605,617.3229370117188
2011-04-12,24.51466178894043,14.674968719482422,622.298095703125
2011-04-13,24.51466178894043,14.591266632080078,622.298095703125
2011-04-14,24.453136444091797,14.493621826171875,622.298095703125
2011-04-15,24.17186164855957,14.368074417114258,622.298095703125
2011-04-18,23.74116325378418,13.712444305419922,622.298095703125
2011-04-19,24.558612823486328,13.64966869354248,622.298095703125
2011-04-20,25.086000442504883,14.591266632080078,613.1638793945312
2011-04-25,25.086000442504883,14.591266632080078,613.1638793945312
2011-04-26,25.086000442504883,14.591266632080078,613.1638793945312
2011-04-27,25.086000442504883,14.591266632080078,613.1638793945312
2011-04-28,25.086000442504883,14.591266632080078,621.1969604492188
2011-04-29,25.288162231445312,14.960929870605469,621.1969604492188
2011-05-02,25.042049407958984,14.647067070007324,621.1969604492188
2011-05-03,24.716829299926758,14.368074417114258,631.85498046875
2011-05-04,24.558612823486328,14.674968719482422,635.1585693359375
2011-05-05,24.81351661682129,14.884206771850586,635.1585693359375
2011-05-06,24.97173309326172,14.842361450195312,635.1585693359375
2011-05-09,24.848674774169922,14.891182899475098,631.29443359375
2011-05-10,24.848674774169922,15.023707389831543,631.29443359375
2011-05-11,24.901412963867188,15.225974082946777,631.29443359375
