,high,low,open,close,adjclose
2008-09-17,-0.028117281936747673,-0.05113643858803485,-0.03235510862275781,-0.04832186150505535,-0.04832186150505535
2008-09-18,-0.005097731068488542,-0.008673419864965837,-0.04828006353628034,0.04668555093371296,0.04668555093371296
2008-09-19,0.05987006873535172,0.06100702141369574,0.04916800322614634,0.04468336049307453,0.04468336049307453
2008-09-22,-0.014791441082509849,0.019754460157223264,0.042217851898003644,-0.022392681901589384,-0.022392681901589384
2008-09-23,-0.019946051064376746,-0.011879678206124566,-0.02245305558289168,-0.0064964989371478765,-0.0064964989371478765
2008-09-24,-0.0022826549490648773,-0.0027454741009993455,-0.006494866921983089,-0.0009985260070166646,-0.0009985260070166646
2008-09-25,0.019342810594300985,0.002952838461801832,-0.0009083289263340788,0.027724782913651325,0.027724782913651325
2008-09-26,-0.0004939410845548053,0.016960008556679895,0.027589346610007226,-0.002019173450321432,-0.002019173450321432
2008-09-29,-0.0026223429273954935,-0.060155904484258116,-0.0026223429273954935,-0.0661439083873443,-0.0661439083873443
2008-09-30,-0.02727859883673922,0.007966121729213071,-0.0644762320358705,0.0382169008505695,0.0382169008505695
2008-10-01,0.013243970136905148,0.020715046879699273,0.037582080596438416,0.009135723809924556,0.009135723809924556
2008-10-02,-0.004101870020218001,-0.025135932947438988,0.008757652719380005,-0.044364911860402145,-0.044364911860402145
2008-10-03,-0.034266122908391594,-0.03776582742292511,-0.04410575691392893,-0.044155158639318515,-0.044155158639318515
2008-10-06,-0.05512802894422464,-0.10520199796947693,-0.045288394938687304,-0.05546379370449728,-0.05546379370449728
2008-10-07,-0.01764175768217946,0.008214494297408947,-0.05378953909140094,-0.040555036279958045,-0.040555036279958045
2008-10-08,-0.05389967088684422,-0.035066627169220155,-0.042136131504335594,-0.009901484142416095,-0.009901484142416095
2008-10-09,0.004200983538339642,0.008106740283427172,-0.008572010910903316,-0.017994091381629218,-0.017994091381629218
2008-10-10,-0.05774722157591761,-0.05457963899417351,-0.020589985099961794,-0.0201386872014524,-0.0201386872014524
2008-10-13,0.08630942836422761,0.03947314638554644,-0.013098511513753408,0.10440714942144602,0.10440714942144602
2008-10-14,0.05729262489505693,0.0904938332487486,0.1035138458687932,0.006708057314217086,0.006708057314217086
2008-10-15,-0.05148222073811759,-0.050038184812487785,0.0017044981661271663,-0.05114940160322945,-0.05114940160322945
2008-10-16,-0.04024728598846572,-0.039095880350254575,-0.050139661349447806,-0.03257973526535807,-0.03257973526535807
2008-10-17,-0.019030938672310427,0.004297285706666543,-0.032385409598566284,-0.007117857151440532,-0.007117857151440532
2008-10-20,0.00022721944521819637,0.009611949379497275,-0.0074242699147362146,0.023037121213196343,0.023037121213196343
2008-10-21,-0.007450024983585379,-0.010447291436330275,0.02174110220905412,-0.028445381878880127,-0.028445381878880127
2008-10-22,-0.030672300918846318,-0.07692102281925983,-0.028965092464293463,-0.07266121886691579,-0.07266121886691579
2008-10-23,-0.059065104333205554,-0.059524686007192074,-0.07084548927736023,-0.054041503142302716,-0.054041503142302716
